# FILE	ENCLOSING	KIND	NTH	STATUS	NOTE
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--aot-direct-tag-predicate-form	tag-const-ref	0	walked	Read this ABI constant consumer and added tag-14/tag-15 constants to its exported or emitted string-tag set.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--aot-direct-tag-predicate-form	tag-const-ref	1	walked	Read this ABI constant consumer and added tag-14/tag-15 constants to its exported or emitted string-tag set.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--collect-strings	unresolved-numeric	0	n-a	This compares AOT compiler IR/grammar-op tag 5/6 (call/cell-make), not a Sexp tag.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-sexp-name-eq	tag-const-ref	0	walked	Read this ABI constant consumer and added tag-14/tag-15 constants to its exported or emitted string-tag set.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-sexp-name-eq-arm64	tag-const-ref	0	walked	Read this ABI constant consumer and added tag-14/tag-15 constants to its exported or emitted string-tag set.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-stmt	unresolved-numeric	0	n-a	This compares AOT compiler IR/grammar-op tag 5/6 (call/cell-make), not a Sexp tag.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-value	unresolved-numeric	0	n-a	This compares AOT compiler IR/grammar-op tag 5/6 (call/cell-make), not a Sexp tag.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-value	unresolved-numeric	1	n-a	This compares AOT compiler IR/grammar-op tag 5/6 (call/cell-make), not a Sexp tag.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-value	unresolved-numeric	2	n-a	This compares AOT compiler IR/grammar-op tag 5/6 (call/cell-make), not a Sexp tag.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--emit-value	unresolved-numeric	3	n-a	This compares AOT compiler IR/grammar-op tag 5/6 (call/cell-make), not a Sexp tag.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--parse-aot-funcall3	unresolved-numeric	0	n-a	This compares a source form or parameter-list arity of 5/6, not any tag namespace.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--parse-value	unresolved-numeric	0	n-a	This compares a source form or parameter-list arity of 5/6, not any tag namespace.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--parse-value	unresolved-numeric	1	n-a	This compares a source form or parameter-list arity of 5/6, not any tag namespace.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--parse-value	unresolved-numeric	2	n-a	This compares a source form or parameter-list arity of 5/6, not any tag namespace.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--preprocess-defun-sexp-builtin1-symbol	unresolved-numeric	0	n-a	This compares a source form or parameter-list arity of 5/6, not any tag namespace.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--wasm-collect-handler-local-ids	unresolved-numeric	0	n-a	This compares AOT compiler IR/grammar-op tag 5/6 (call/cell-make), not a Sexp tag.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--wasm-emit-value	unresolved-numeric	0	n-a	This compares AOT compiler IR/grammar-op tag 5/6 (call/cell-make), not a Sexp tag.
lisp/nelisp-aot-compiler.el	nelisp-aot-compiler--wasm-register-ir-imports	unresolved-numeric	0	n-a	This compares AOT compiler IR/grammar-op tag 5/6 (call/cell-make), not a Sexp tag.
lisp/nelisp-artifact.el	nelisp-artifact--native-driver-c	unparsed-region	0	walked	Hand-inspected the generated native C driver and added tag-14/tag-15 layout-aware value output.
lisp/nelisp-cc-env-set-value.el	nelisp_env_set_value_name_ok	tag-test-sexp-tag	0	walked	Read this Sexp string dispatch and added the applicable layout-identical tag-14/tag-15 arm(s).
lisp/nelisp-cc-evalport-combiner-apply.el	nl_apply_builtin	tag-test-bound-sym	0	walked	Read this Sexp string dispatch and added the applicable layout-identical tag-14/tag-15 arm(s).
lisp/nelisp-cc-evalport-nonenv-mut-str-set-cp.el	nl_mut_str_set_codepoint_raw	tag-test-bound-sym	0	walked	Read the fixed-width mutation lower: tag 15 resolves its boxed NlStr and writes one byte in 0..255; tag 6 writes only when both old and new characters are ASCII, preserving tag and byte length.
lisp/nelisp-cc-frame-stack-find.el	nelisp_frame_stack_find_valid_key	tag-test-sexp-tag	0	walked	Read this Sexp string dispatch and added the applicable layout-identical tag-14/tag-15 arm(s).
lisp/nelisp-cc-jit-alias.el	nl_jit_alias	tag-test-sexp-tag	0	walked	Read this Sexp string dispatch and added the applicable layout-identical tag-14/tag-15 arm(s).
